文章总数: 11 篇
==============================

1. 微信公众号 -  (广西壮族自治区人民政府关于印发《广西壮族自治区国土空间规划(2021—2035年)》的通知(桂政发〔2024〕4号)) 2024-09-10 维稳咨讯指南   维稳咨讯指南

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzA4MDg1ODY1Mg==&mid=2247495943&idx=3&sn=e0014507677e11db14d5f98db6425952

各市、县人民政府,自治区人民政府各组成部门、各直属机构: 

《广西壮族自治区国土空间规划(2021—2035年)》已经国务院批复同意,现印发给你们,请认真组织实施。 

广西壮族自治区人民政府 

2024年2月2日 

(此文有删减) 

广西壮族自治区国土空间规划 

(2021—2035年) 

目  录 

1.加强广西北部湾国际门户港的出海通道建设。

推进专业化深水泊位建设和进港航道疏浚整治工作,提升广西北部湾国际门户港服务能力;开辟和加密国际班轮航线,实现东南亚主要港口全覆盖;拓展连接中西部地区主要城市的海铁联运班列线路,实现西部地区全覆盖。

2.打通快捷便利的多向出省通道。

加快建设直连直通粤港澳大湾区的东融通道,推进南宁—玉林—深圳等高速铁路建设,建设岑溪至罗定等货运铁路通道,打造连接粤港澳大湾区的西江航运干线通道;联合西南地区省份共同建设西部陆海新通道大能力运输主通道,提升东、中、西线3条通路运输能力。 

构建高效综合立体交通网。依托铁路、公路、水运、航空网络,加快构建“四横五纵”综合交通运输通道,促进交通设施廊道在综合运输通道内一体化布局。到2035年,全区公路网密度达到81千米/百平方千米以上,铁路网密度达到4.21千米/百平方千米以上。客运基本实现北部湾城市群(广西部分)1小时通达、区内城市间2小时通达、周边省份及东盟国家主要城市3小时覆盖。货运基本实现国内1天送达、东盟国家2天送达、全球主要城市3天送达。 

专栏11  “四横五纵”综合交通运输通道布局及建设重点 

1.“四横五纵”综合交通运输通道布局。

横向通道(4条):广渝(蓉)通道(广州—贺州—桂林—贵州)、汕昆通道(汕头—贺州—柳州—河池—百色—昆明)、广昆通道(广州—梧州—贵港—南宁—百色—昆明)、沿海沿边通道(深圳—北海—钦州—防城港—崇左—百色—昆明);

纵向通道(5条):益北通道(益阳—贺州—梧州—玉林—北海)、二湛通道(二连浩特—桂林—贺州—梧州—玉林—湛江)、湘桂通道(长沙—桂林—柳州—南宁—崇左)、西部南向出海通道(西宁—河池—南宁—钦州—北海—三亚)、银百通道(银川—重庆—百色—龙邦口岸);

两级综合交通运输通道:一级通道包括广渝(蓉)通道、广昆通道、沿海沿边通道、二湛通道、湘桂通道、西部南向出海通道、银百通道7条通道;二级通道包括汕昆通道、益北通道2条通道。

2.建设大能力运输铁路网。

加快推进广西境内的国家高速铁路主通道建设,贯通与全国便捷联系的高速铁路主通道,构建与京津冀、粤港澳大湾区、长三角、成渝地区双城经济圈等核心城市高速铁路多通路连接格局,形成南宁市与全国省会城市之间的高标准通道。加快构建以南宁市为中心的高速铁路网主骨架,完善区域高速铁路网络布局,强化区域高速铁路与国家高速铁路主通道的衔接。

3.拓展高等级公路网。

畅通“出海出边出区”高速公路大通道,完善内部高速公路网络,形成“1环12横13纵25联”高速公路网。推进普通国省干线公路提级改造,强化对重点产业集聚区、3A级及以上旅游景区、机场、县级铁路场站、港口码头等重要经济和交通节点的覆盖。完善县乡公路网络,实现县县通高速公路、乡乡通二级或三级公路。

4.打造航运干线网。

加快推进平陆运河建设,打通江海联动的Ⅰ级航道;开展湘桂运河、皇城坳运河研究论证;完成西江航道干线升级扩能工程,充分发挥西江黄金水道功能;完善右江、红水河、柳江—黔江、左江、湘桂运河—桂江、平陆运河6条国家高等级航道和绣江、贺江、南盘江、洛清江、漓江5条地区性重要航道功能;基本建成“一主六干五线”的内河骨干航道网。

5.强化国际航空网。

开拓和加密广西至东盟国家的国际客货运输航线,完善桂林至东盟、日韩等国家热点旅游城市的航线网络,按需开辟广西至欧盟、美国等国际航线。 

建设多层一体的综合交通和物流枢纽体系。以完善枢纽城市国际、国内和区域服务功能为核心,构建以1个国际枢纽海港和4个全国性综合交通和物流枢纽城市为核心、以8个区域性综合交通和物流枢纽城市为支撑、3个口岸枢纽联动发展的“1+4+8+3”综合交通和物流枢纽体系,推进综合交通枢纽一体化规划建设,提升广西在西部及周边地区的影响力和竞争力。 

专栏12  综合交通和物流枢纽布局及建设重点 

1.综合交通和物流枢纽布局。

1个国际枢纽海港:广西北部湾国际门户港;

4个全国性综合交通和物流枢纽城市:南宁市、柳州市、桂林市、钦州—北海—防城港;

8个区域性综合交通和物流枢纽城市:梧州市、贵港市、玉林市、百色市、贺州市、河池市、来宾市、崇左市;

3个口岸枢纽:龙邦口岸、凭祥口岸、东兴口岸。

2.建设具有世界影响力的国际海港枢纽群。

全力推动广西北部湾国际门户港建设,全力提升港口能级,提高国际服务能力;加快优化防城港域、钦州港域和北海港域功能定位,加强分工协作;加快完善渔澫、企沙、金穀、大榄坪、铁山西五大核心港区;规划建设企沙南、三墩、石步岭、铁山东、涠洲岛五个港区;沿海分散布局多个小港点;基本形成“一港三域五核五区多港点”的沿海港口总体布局。推动内河港口规模化、集约化、专业化发展,形成以南宁港、贵港港、梧州港、柳州港、来宾港为全国主要港口,以百色港、崇左港、河池港、玉林港、桂林港、贺州港为地区性重要港口的内河港口格局。

3.建设具有区域竞争力的现代机场群。

加快将南宁吴圩国际机场打造成为面向东盟的门户枢纽机场,将桂林两江机场打造成为区域枢纽机场,将北海福成机场、柳州白莲机场、梧州西江机场、百色巴马机场、玉林福绵机场、河池金城江机场打造升级成为区域中心机场,布局新增防城港、贵港、贺州机场,适时开展崇左、马山等机场前期研究,形成“1+1+6+5”的全区运输机场体系。统筹推进通用航空机场布局建设,到2035年规划建设41个通用机场,构建布局合理、功能完善、层次清晰的通用机场网络体系。

4.建设具有区域辐射力的陆路综合交通和物流枢纽群。

以南宁市为全国性铁路综合客运枢纽,以柳州、桂林、梧州、北海、百色市为区域性铁路综合客运枢纽,以防城港、钦州、贵港、玉林、贺州、河池、来宾、崇左市为地区性铁路综合客运枢纽,基本形成“1+5+8”的铁路综合客运枢纽总体格局。以南宁市为国家级铁路物流中心,以柳州、桂林、梧州、钦州、贵港、玉林、百色、贺州、崇左市为区域级铁路物流中心,以北海、防城港、河池、来宾市为地区级铁路物流基地,以南宁、柳州、桂林、北海、梧州、玉林、河池、百色、东兴、凭祥市为铁路快运物流基地,基本形成“1+9+4+10”的铁路货运枢纽总体格局。

5.建设具有国际吸引力的对外开放口岸群。

推进防城港、崇左、百色市边境陆路口岸,防城港、钦州、北海市沿海口岸,南宁、桂林、柳州、北海市航空口岸,梧州、贵港、柳州市内河口岸基础设施、跨境通道和集疏运体系建设。 

构建高品质绿色智慧交通体系。支持绿色交通发展,推进交通发展方式转变和交通运输结构优化,提升交通运输组织的绿色化和智慧化水平。推进城乡运输服务一体化发展。推动交通与产业融合发展,完善产业集聚区配套集疏运通道和货运枢纽(物流园区)布局,加大旅游交通设施建设力度,支撑全区全域旅游高质量发展。 

完善绿色交通出行体系。落实碳达峰、碳中和要求,优化交通运输结构和运输组织方式,完善绿色交通基础设施。引导构建绿色出行体系,实施公交优先战略,保障步行、自行车和公共交通的出行空间,提高绿色出行比例。多方联动促进“公转铁、公转水”,支持发展多式联运,加快连接港口、场站及重要物流园区的支线铁路、公路建设,打通“最后一公里”。新建、改扩建线性交通设施应在综合运输通道内一体化布局,减少交通设施对土地、岸线资源的占用和对生态环境的影响,尽量避免造成国土空间分割。 

推进城乡交通运输一体化。实现城乡交通基础设施一体化规划、建设,推进城乡公交一体化改造,构建县、乡、村三级农村物流网络,强化农村寄递物流与农村电商、交通运输等融合发展。 

促进交旅融合发展,支撑魅力空间建设。打通串联历史文化城镇、自然与文化旅游重点目的地的旅游风景道和绿道网络,开通通达重要景区景点的旅游客运线路,实现4A级及以上景区公共交通线路或旅游专线覆盖率达到100%,结合高速公路、国省干线及旅游公路配套建设房车营地、观景台、驿站、停车区等旅游服务设施。支持高速公路物流仓储、交旅融合等功能区建设。 

打造智慧交通体系。支持利用物联网、云计算、新一代信息通信网络、区块链等先进技术,综合运用交通科学和人工智能等分析方法,推进交通信息化和交通基础设施智慧化建设,强化新技术在出行服务、货运物流、交通行业治理等领域的应用。 

引导重点地区和特殊地区实行交通设施差异化建设。加密经济发展优势地区以轨道交通为主导的交通网络,支撑城市内部及城市与周边主要城镇间网络化、高密度客货运需求。提高脱贫地区农村交通可达性,提升农村客运和物流服务水平。强化北部湾港集疏运体系建设,促进各种运输方式有机衔接,支撑陆海统筹发展。 

支撑经济优势地区发展。重点围绕南宁、柳州、桂林市等中心城市加快建设通勤化、快速化的市域(郊)铁路网,加强北部湾城市群(广西部分)、南宁都市圈、北钦防等重点区域多层次轨道交通网络布局与城镇空间规划的协调,促进干线铁路、城际铁路、市域(郊)铁路、城市轨道“四网融合”,在北部湾城市群(广西部分)内打造以南宁市为核心、以城际铁路为主导的1小时交通圈,在南宁都市圈内打造以市域(郊)铁路和城市轨道交通为主导的1小时交通圈。加快北钦防交通一体化建设,实现北钦防主城区1小时通达。 

支撑海岸带陆海统筹发展。重点围绕广西北部湾国际门户港加强多式联运基础设施建设,依托多式联运型和干支衔接型货运枢纽(物流园区),促进形成铁路、公路、水路、航空多式联运体系,推动铁路进港口、进园区,实现高速公路直通北部湾港规模化港区和主要集装箱港区,发展铁海、公海联运。以平陆运河建设为契机,研究推动平塘港区综合开发,促进江海联动和陆海统筹发展。 

支撑脱贫地区发展。加快脱贫地区县乡联网公路、农村硬化路、村际联网公路建设,因地制宜建设乡村旅游路、产业路、资源路,完善民族特色类村屯旅游景点景区配套交通设施,加大对人口规模较大的村屯硬化路建设的支持力度。推进脱贫地区乡镇和行政村通客车,完善物流配送网点布局,扩大农村客运服务覆盖面,提高农村物流服务水平。 

第二节  完善现代化水利基础设施 

推进区域水资源配置工程。在全面加强节水、强化水资源刚性约束的前提下,结合供水安全保障、乡村振兴及支撑区域经济高质量发展要求,加强水资源配置工程水资源刚性约束论证和审查,在桂东南、桂中、桂西等缺水地区实施一批引调水、水资源配置工程,保障重要经济区和重点城市供水安全。重点为环北部湾广西水资源配置工程、桂西北供水保障工程、桂林水资源配置提升工程等一批重大水资源配置工程提供空间保障,衔接平陆运河工程水资源配置,加快形成沟通南北的战略性输水通道。支持桂西地区提升骨干供水能力,桂中、桂东地区增加取水工程设施供给,桂北地区优化供水工程布局,增强城乡供水保障和应急能力。 

加快大中型灌区建设与现代化改造。按照粮食安全、产业振兴、现代农业发展及现代化灌区建设要求,在具备条件的地区建设和改造一批现代化大中型灌区。加快玉林市龙云灌区、大藤峡水利枢纽灌区、下六甲灌区等大型灌区建设,重点推进左江治旱黑水河现代化灌区、桂西北扶贫治旱红水河灌区、桂西北治旱龙江河谷灌区、南宁市邕北灌区、柳州市沙埔河水库灌区论证和建设。实施一批大中型灌区续建配套与现代化改造工程。结合水源工程建设一批节水型、生态型灌区,解决干旱地区灌溉缺水问题。到2035年,农田灌溉保证率达到85%。 

加强农村供水安全工程空间保障。结合乡村振兴和新型城镇化战略要求,加强水源地空间保护,因地制宜保障规模化供水工程建设,引导农村供水设施空间布局优化,提升规模化供水人口覆盖比例。 

第三节  推进能源基础设施建设 

加强战略性矿产资源保护和储备。以稀土、钨、铷矿等为重点,对当前因技术、经济或生态环境等因素,暂时不宜开发的战略性矿产大中型矿产地进行保护。实施矿产地储备工程,划定战略性矿产资源储备区,实行严格保护和监管,建设项目原则上不得压覆或占用储备区内战略性矿产,确需压覆的应按照有关规定进行论证和审批。加强储备区内战略性矿产资源地质勘查,非储备矿种勘查、开采等活动应在不影响储备矿种的前提下经充分论证后开展。 

推进能源供给侧结构性改革,严格执行能源消费强度和总量双控,构建清洁低碳、安全高效的现代能源体系。推进形成由核电、火电、水电、风电以及燃气、生物质、光伏发电、垃圾焚烧发电构成的现代能源基础支撑体系,能源资源配置更加合理,能源利用效率大幅提高,碳排放总量达峰后稳中有降。到2035年,确保完成国家下达的单位地区生产总值能耗和二氧化碳排放下降率目标任务,持续扩大清洁能源消费,增强能源消费总量管理弹性。 

促进传统能源布局优化调整。深度开发水电,利用红水河、郁江和柳江等干流水电资源,加快推进已纳入国家规划的抽水蓄能电站项目建设。推动煤电优化发展。积极拓展石油储备能力。 

专栏13  传统能源重点工程 

重大水电工程:龙滩水电站8号、9号机组,八渡水电站,大藤峡水利枢纽等大型水电站。

重大煤电工程:北海电厂二期、钦州电厂三期、崇左电厂、吉利百矿新建煤电等项目,改造升级贺州电厂、南宁电厂、来宾电厂等。 

创新新能源开发利用模式。加快推进大型风光基地建设,按规模化、集约化模式积极推进钦州及防城港海上风电示范项目建设,打造千万千瓦级北部湾海上风电集群;打造南宁、柳州、桂林、玉林、百色、钦州等百万千瓦级山地风电基地。鼓励推进“光伏+”模式,探索农光互补、林光互补光伏电站综合利用,推进乡村分散式风电场项目、屋顶分布式光伏项目建设,全面提高资源利用效率。积极安全有序发展核电。做好国家规划内核电站点的厂址保护,适时啔动项目前期工作。稳步开展核电厂址勘探和普选工作,待条件成熟时推动纳入国家规划,为构建适应新能源占比逐渐提高的新型电力系统提供坚实保障。 

构建完善的输配电网络。推进建设全区特高压直流输电、220千伏及以上主电网工程,构建高等级输配电网络。预留藏东南水电、雅鲁藏布江下游水电等西南大型水电基地及西北大型风电光伏基地电力外送等新增特高压输电通道的建设条件。实现县城110千伏变电站全覆盖,乡镇35千伏变电站全覆盖,10千伏及以上电压等级供电线路覆盖所有县级及以上工业集聚区,配电自动化、配电通信网络覆盖率指标大幅提升,建成全国一流电网和智能电网。 

推进形成油气管道环网格局。加快完善全区天然气基础设施,新建全区液化天然气(LNG)外输管道增压工程,积极推进天然气分布式能源建设,扩大冷热电联产集中供能规模。加快构建以北海市为主的LNG储运体系,推进天然气管网多向输送。 

保障新能源项目空间需求。在符合国土空间规划和用途管制要求基础上,鼓励大力发展新能源项目,将新能源项目的空间信息按规定纳入国土空间规划“一张图”,统筹安排新能源项目用地用海用林,重点保障纳入国家规划的重大新能源项目。提高国土空间资源利用效率,新建、改建和扩建的风电、光伏项目总用地规模和各功能分区用地规模应严格执行土地使用标准,鼓励推广应用节地技术和节地模式。探索风电、光伏助力石漠化治理新模式。有序推进海上风电项目开发,引导新增海上风电在深水远岸的海域布局,避免对航空线路、船舶航路、锚地和海底通信光缆相关设施造成干扰。 

第四节  加快新型基础设施建设 

保障新一代信息基础设施建设。支持新一代信息通信网络设施建设,加强通信管道等信息配套设施和路网协同共建。统筹推进城市基础网络升级改造和质量提升工程,引导在市县国土空间规划中将信息通信基础设施纳入公共基础设施和重点项目统一规划,并按要求纳入国土空间规划“一张图”。支持面向东盟的北斗时空信息枢纽建设。深入推进实景三维广西建设,探索构建以实景三维广西为统一基底的自然资源三维立体“一张图”。 

支持新技术融合基础设施建设。保障国内“东数西算”中心、面向东盟的南数北算基地发展空间,加快人工智能和区块链等新技术基础设施建设。推进人工智能和实体经济深度融合,重点保障机器人、智能硬件、智能制造、智能家居等人工智能产业发展空间。引导并支持运用新一代信息通信网络、大数据、物联网等新技术优化传统金融、交通、市政、物流、医疗、教育、旅游、园区等领域的基础设施空间布局,探索“新基建+传统基建”的“双基建”融合模式。 

第五节  构建安全韧性的综合防灾减灾体系 

提高防洪排涝能力。恢复自然行洪河道,充分发挥极端天气下湖泊、池塘、湿地公园等雨水调蓄能力,形成平时休闲游憩、灾时排水防涝的弹性机制。加强重点涝区防洪排涝能力和重点工程建设。推动左右江革命老区岩溶易涝区、浔郁沿江易涝区及环北部湾海岸带河口易涝区等重点涝区防洪排涝能力建设。加快建设洋溪水利枢纽、那垌水库、左江水利枢纽改建工程等防洪控制性枢纽工程。全面完善内陆河流防洪减灾工程体系,继续实施西江干流、重要支流及独流入海河流、中小河流治理,严禁改变现状河道水系,加强重点山洪沟治理,提高防洪能力。支持推进南宁、柳州、梧州、桂林、贵港市等重点防洪地区的防洪排涝工程建设。 

强化地质灾害综合防治。开展全覆盖地质灾害风险普查和调查评价。健全“人防+技防”监测预警体系,按轻重缓急实施地质灾害治理工程、排危除险工程、避险移民搬迁工程,逐步消除重要风险隐患。新增建设项目应避让地质灾害极高、高风险区和隐患点,难以避让的应落实工程治理、排危除险、避险搬迁等综合治理措施。 

加强地震灾害风险防治。强化城市活动断层探测,开展大震危险源探测,加强房屋建筑和基础设施的地震灾害风险监测和隐患排查,定期开展地震灾害风险评估,对抗震能力不足的房屋设施开展抗震加固,提升城镇地震安全韧性。 

加强海洋灾害防治。加快生态海堤建设,构建完善的沿海防台防潮减灾体系,保护北钦防沿海城市、城镇和重要基础设施。加强海洋生态环境基础性监测,逐步完善海洋生态灾害预警、近海典型生态系统预警工作机制,全面开展海洋灾害风险普查、隐患排查和海洋灾害风险评估等工作,逐步探索完善跨部门信息资源共享机制,提升海洋灾害应急处置能力。提升北钦防沿海地区应对气候变化及海洋灾害的能力,推进生态柔性海堤工程建设,构建多道防潮堤组成的韧性防潮系统。发挥近海区域红树林、珊瑚礁、海草床等生态系统的消波减浪功能。 

防范化解尾矿库安全风险。在尾矿库下游1千米范围内不得新设置居民区、工矿企业、集贸市场、交通站场等人员密集场所。对兴安华江、资源中峰、浦北六硍、贺州八步桂岭、南丹车河、凤山金牙等地的尾矿库要重点防范化解“头顶库”安全风险。对具备搬迁条件的“头顶库”下游居民要尽快实施搬迁,不具备搬迁条件的要及时加固加高尾矿库坝体、查漏补缺、确保安全。强化源头管控,严格新建尾矿库选址论证,加强尾矿库闭库治理销号,稳妥推进尾矿资源利用和土地复垦。优先在集中式饮用水水源地上游和永久基本农田周边地区开展尾矿库综合整治工作,最大限度降低溃坝等事故导致尾矿进入农田风险,避免造成环境污染。 

加强危险化学品区域安全防范。制定和完善化工产业规划,加强对各类化工园区、重大危险源、油气长输管道等区域的风险防范和整治。加快北部湾危险化学品应急救援基地和河池矿山救援基地建设。 

分区分类降低火险隐患。在桂东北省界处建设防火林带工程;加强重点林区森林防灭火道路建设,完善林带阻隔系统。重点推进中国—东盟应急救援培训中心、消防科技应用成果示范中心、战勤和物资储备库基地、消防信息系统平台建设工程、消防救援装备维修中心和消防科普示范基地等重大项目建设。 

合理布局应急保障设施。留足防灾减灾通道,提升突发事件应急交通运输保障能力,支持基层应急广播站建设。健全救灾物资储备库体系,新建、改扩建各级救灾物资储备仓库,在灾害易发区和因灾交通易中断地区设置区域性物资储备仓库;建设广西森林消防机动支队和大队营房、前置点、培训基地;建立健全应急物流体系,逐步建立多层级应急物资中转配送网络。加强专业应急救援队伍、应急救援装备与应急救援基地建设,提升海上紧急医学救援能力和空中紧急医疗转运能力。人口密集城市应规划预留应急医疗设施用地,保障应急使用需求。完善海上应急救捞基地布局,保障钦州救助码头、北海救助码头扩建工程和北部湾应急打捞综合基地建设。建设一批国家安全应急产业示范基地,支持应急产业大型企业集团“安全穀”建设,形成区域性应急产业链。 

第六节  统筹协调重大基础设施空间布局 

统筹协调各类基础设施空间布局。依托国土空间基础信息平台,以空间约束底线为基础,协调各类基础设施项目空间矛盾,优化选址布局,带位置纳入国土空间规划“一张图”实施监督信息系统,实现“一张图”管理。未在“一张图”上协调矛盾冲突的,不得审批建设项目用地。 

优先保障基础设施用地需求。加强对纳入国土空间规划的重大基础设施项目用地保障,市县国土空间规划要预留重大基础设施建设廊道、明确重点项目清单和建设时序,做好空间保障。 

强化重大基础设施与各类空间的协调。贯彻落实国家耕地保护和节约集约用地的要求,引导各类建设项目尽量少占耕地,避让永久基本农田和生态保护红线。线性基础设施项目选址应尽可能避让生物多样性廊道,无法避让的应根据需要建设生物通道,防止生物多样性廊道生境丧失、片断化和退化。新建风电、光伏等新能源项目应避让重要水源涵养区和野生动物栖息地。加强交通、水利、能源、通信、高压线走廊等线性基础设施的空间统筹,尽量并线布局,提高复合利用水平,避免对各类空间过度分割。 

第九章  保护融合遗产,彰显壮美广西魅力 

广西是独特而丰富的喀斯特岩溶地貌和历史人文景观荟萃之地,也是以壮族文化为主体的多元少数民族文化和谐共生之地。要充分发挥全区山水人文价值,加强历史文化空间保护和高质量利用传承,构建国家遗产保护空间体系和自然与人文相互交融的魅力空间,保护好魅力山水,建设新时代壮美广西。 

第一节  统筹文化遗产和自然遗产的保护和系统活化利用 

构建全域联动的历史文化保护传承空间格局。以地域文化生态为基础、以历史文化价值为导向,通过资源要素整合,构建“两廊一带、六片聚集、双核四城”的全区历史文化保护传承空间格局,实现全域联动、区域互动、节点带动,彰显全区自然与人文交融的地域特色,弘扬广西优秀历史文化传统。 

专栏14  历史文化保护传承空间格局 

“两廊”:西江多元历史文化廊道、喀斯特山水人文景观廊道;

“一带”:边海一体历史文化带;

“六片”:湘桂古道及周边文化资源聚集片区、潇贺古道文化资源聚集片区、东巴凤红色文化资源聚集片区、百色盆地文化资源聚集片区、崇左文化资源聚集片区和玉林盆地文化资源聚集片区;

“双核”:南宁、桂林市;

“四城”:柳州、梧州、北海、百色市。 

构建国家遗产保护空间体系。保护承载中华文明基因的空间载体,整合文化遗产和自然遗产保护的空间要求,整体构建国家遗产保护的空间体系,以保护促发展。系统保护文物和文化遗产空间,重点保护各级文物保护单位,尚未核定公布为文物保护单位的不可移动文物、大遗址、地下文物埋藏区、水下文物保护区、历史文化名城名镇名村、历史文化街区和历史建筑,以及传统村落、水利工程遗产、交通遗产、工业遗产、农业文化遗产、海洋文化遗产等各类文化遗产,落实分级分类名录管理,确保依法保护的历史文化遗产数量与面积不减少。统筹安排世界文化遗产左江花山岩画文化景观和中国世界文化遗产预备名单项目(灵渠、海上丝绸之路、侗族村寨)、长征国家文化公园(广西段)、国家考古遗址公园(甑皮岩遗址、合浦汉墓群与汉城遗址、靖江王府及王陵)、明清海防(广西段)大遗址保护项目等重大历史文化遗产保护利用项目的合理用地需求。 

支持历史文化和自然遗产标识地建设。全面提升重要文化及自然地标和精神标识的空间利用品质,保障非物质文化遗产传承展示,注重少数民族文化遗产保护。重点打造以长征国家文化公园(广西段)、左右江革命文物保护利用片区、长征(红一方面军)革命文物保护利用片区(广西)、广东革命文物保护利用片区(广西)为载体的红色革命精神标识,以桂林山水人文景观为主要载体的体现喀斯特独特地貌与地域历史人文相互融合的文化地标,以崇左花山岩画、南宁壮族风情、三江侗族村寨为主要载体的体现少数民族多元多彩的文化地标,以兴安灵渠、海上丝绸之路(北海史迹)、百色史前文明、隆安稻作文化为主要载体的体现广西悠久历史的文化地标,以南宁昆仑关战役遗址、连城要塞遗址和友谊关为主要载体的体现中华民族抵抗外敌、不屈不挠的精神标识。从全域全要素的角度,统筹保障相关空间需求,塑造空间品质,提高空间价值,构建核心文化标识空间。推动区内自然遗产地和各级各类自然保护地可持续发展,开展与自然资源承载能力相匹配的生态游憩活动,发展生态旅游并带动相关产业发展,助力乡村振兴,实现自然遗产的有效保护、合理利用、永续传承。 

促进少数民族文化遗产保护传承。整体保护文化生态保护区、历史文化名城名镇名村、传统村落、少数民族特色村寨分布区域的人文历史环境与山水自然环境,保障非物质文化遗产传承的场所及设施建设,确保以民族文化为特色的全区传统文化生态具备良性的发展空间。加强乡村传统历史风貌的保护管控,做到应保尽保。到2035年,确保中国少数民族特色村寨个数不减少。 

统筹落实历史文化保护线。市、县、乡镇国土空间规划要统筹落实各级文物保护单位保护范围和建设控制地带、地下文物埋藏区、水下文物保护区、城市紫线、历史建筑、传统村落、工业遗产等在内的历史文化保护线,并将不可移动文物保护空间管制的规划要求纳入国土空间规划“一张图”实施监督信息系统,作为实施用途管制和规划许可的重要依据,对涉及历史文化保护线区域的建设活动实施准入限制和空间形态指标控制。建立空间管控定期评估与更新机制,协调历史文化遗产周边风貌的保护与留存。对需依法保护的历史文化遗存,开发建设前应开展建设影响评估,依规履行批准手续,维护各类历史文化遗存及其整体环境的真实性、完整性和安全性,真实完整地保护广西的历史文脉精华。对历史文化保护线内可能存在的历史文化遗存的土地,实行“先考古、后出让”制度。国土空间规划布局与开发利用应充分考虑历史文化保护需求,发掘不可移动文物资源的多重价值,保障文物保护、利用、考古等合理空间需求。将全国重点文物保护单位、自治区级文物保护单位的保护范围和建设控制地带纳入国土空间规划。支持广西不可移动文物空间利用专项规划列入自治区级国土空间专项规划名录。 

完善文化旅游用地用海用林保障机制。全面落实国家和自治区关于支持文化旅游产业高质量发展的用地用海用林政策,重点加强对14个设区市中心城区和旅游产业集聚区所在县(市、区)的旅游服务、商业服务、文化娱乐、都市休闲等业态的用地保障,对列入自治区层面统筹推进重大项目的文化旅游项目用地需求予以倾斜支持。支持桂林市持续深化旅游用地改革。完善旅游新业态用地用海用岛政策,支持废弃地等转型利用作为文化和旅游用地,鼓励盘活闲置农房和宅基地发展休闲农业和乡村旅游。在国土空间规划中统筹保障重点文化旅游项目合理用地需求,积极探索长期租赁、先租后让、租让结合等用地方式,支持和保障重大文化和旅游项目建设,助力广西文化旅游强区建设。 

第二节  建设自然人文融合的魅力空间 

构建彰显广西“山水写意、边海壮阔、文化多元”的自然人文魅力网络。以喀斯特地貌、西江生态、近海生态、边境山地等为代表的地文生态自然景观,以文化遗产线路、风景游赏线路、主要江河水路等线性空间为载体,构建全区魅力空间网络。加强历史人文与自然景观融合区域的整体保护和塑造,不断丰富自然生态旅游与文化旅游产品的高品质供给。积极保障旅游发展建设空间,推动构建广西高品质、多样化的魅力国土空间。支持打造桂林世界级旅游城市,以文塑旅、以旅彰文,提升格调品位,保障世界级旅游景区和旅游度假区建设,支持建设北部湾国际滨海度假胜地和巴马国际长寿养生旅游胜地,升级打造边关风情旅游带和西江生态旅游带,着力打造南宁国际旅游消费中心城市,形成全域协调、优势互补、联动发展的良好格局。 

构建魅力游道网,推动历史文化遗产线路与风景道、“环广西”步道体系的有机结合。加强对湘桂古道、潇贺古道、苍梧大路、黔桂驿路、左江路、百色大道、边防军路、茶马古道、茶船古道、桂北长征线路、太平天国运动线路等历史文化主题遗产线路的资源普查与梳理,挖掘文化内涵与价值,构建以沿线优美自然景观为基底、以历史文化名城名镇名村及传统村落为节点、以代表性文物及文化资源为底蕴的线性文化空间网络。整合全区重要的风景道干线及绿道体系,重点依托滇桂粤边海国家风景道、西江国家风景道以及各主题旅游风景道,构建环绕全区的国家旅游风景道体系。滇桂粤边海国家风景道串联边海公路与重要绿道,贯通交通线与景区、旅游区、特色村镇等沿线配套服务区域,突出展现边关画卷和沿海风光,打造沿边沿海广西“魅力名片”。西江国家风景道上游红水河段重点建设沿线特色绿道,将红水河沿线的自然生态、长寿养生、民族文化、地质奇观、红色文化、乡村田园等旅游资源充分串联,打造富有竞争力的特色旅游创新产品;下游西江段依托沿江城市的自然山水风光、岭南文化、民俗风情等特色资源,发展沿岸生态旅游产业集群,打造对接粤港澳大湾区的生态旅游带。依托历史文化主题遗产线路、国家风景道、国家森林步道、风景道干线及绿道体系打造一批具有历史文化底蕴、沿途风景优美、沿线行路畅通的魅力游道网。重点支持寒山—大容山两山山麓秀美乡村风景画廊、崇左左江山水画廊等乡村旅游廊道建设,促进乡村振兴。 

充分彰显地域景观与历史人文交织的区域特色。整体保护桂东北区域的“中国传统山水人居与喀斯特峰林平原景观”,桂西区域的“少数民族文化与岩溶河谷生态景观”,桂西南边境区域的“边疆文化与珍稀特有动植物景观”,桂东南区域的“岭南文化与西江流域景观”以及北部湾区域的“沿海近代特色风貌与近海生态景观”。自然生态景观与历史文化资源丰富的市县,应加强保护生态与农业空间景观,保护城乡历史风貌、延续历史文脉,深入挖掘反映人地互动关系的文化景观遗产。加强对自然生态旅游与文化旅游项目的有序投放,支持涵盖水陆空立体化的现代旅游综合交通体系建设,通过交旅融合促进不同景观区域的互通畅连。 

专栏15  重点历史文化与自然景观区域和节点发展指引 

